time_spent_sec,page_stage,device_type,delivery_zone,cart_value,cart_items_count,delivery_eta_days,coupon_status,is_returning_user,idle_seconds,abandoned
10,3,2,2,893,1,2,0,0,7,0
91,3,0,0,910,3,3,0,1,5,0
26,3,1,0,530,1,3,2,1,6,0
54,1,2,0,3036,3,3,2,1,14,0
93,3,2,2,851,2,4,1,0,2,0
120,0,4,0,5665,5,2,0,0,0,0
96,3,2,2,3558,4,2,0,0,4,0
87,3,1,0,1334,3,2,1,1,6,0
116,0,1,1,357,1,3,1,0,15,1
34,0,4,0,635,2,1,2,0,17,0
98,1,0,0,327,2,1,0,0,15,0
22,1,1,2,757,3,2,2,1,11,0
85,0,4,1,2512,3,4,0,1,11,0
25,3,1,2,666,1,4,1,0,16,0
29,2,4,0,2087,2,2,1,0,0,1
53,3,4,1,1160,1,4,0,0,12,1
27,3,0,0,4088,4,1,1,0,3,0
97,3,4,2,572,1,4,2,1,12,1
79,0,0,0,3347,3,3,1,0,13,0
18,3,4,1,1258,2,4,2,1,18,1
83,0,0,1,2981,5,5,2,0,17,1
65,2,4,1,1798,2,3,1,0,2,1
72,2,1,1,3322,4,5,2,1,13,1
103,0,1,0,369,1,2,2,0,11,0
34,0,2,0,5838,5,1,2,0,6,0
21,3,0,0,922,1,1,0,1,1,1
77,0,2,2,4183,5,2,2,0,9,0
107,3,4,0,1152,4,2,2,0,17,0
102,3,2,1,2457,4,5,1,0,2,0
37,0,4,1,2887,4,3,2,0,11,0
118,3,1,0,546,2,1,2,1,6,0
89,2,1,0,735,4,2,0,1,8,1
119,2,0,0,1134,1,2,2,0,4,0
55,3,1,1,1853,5,5,2,1,2,0
92,2,0,0,445,5,3,2,0,17,0
95,1,0,0,1013,2,3,2,0,23,1
94,0,4,0,532,2,2,2,1,3,0
78,2,0,0,475,1,2,0,0,0,0
115,1,1,2,1954,5,4,2,0,18,0
23,0,0,0,463,2,3,0,1,8,1
21,3,0,0,495,1,2,0,1,7,0
36,2,4,2,1174,2,4,2,0,13,1
76,0,1,1,1051,1,4,0,0,6,0
99,3,0,0,2649,3,2,2,1,7,0
107,3,4,1,1388,4,3,2,1,9,0
119,2,1,0,2778,4,1,0,1,2,0
45,3,1,0,474,1,2,0,0,10,0
79,1,4,2,951,2,2,1,1,10,0
41,3,2,0,592,2,3,2,1,5,0
34,1,0,0,3400,5,1,2,1,11,1
112,1,0,2,583,1,3,1,1,22,1
115,3,1,2,2261,4,2,1,0,1,1
81,1,1,2,3372,4,3,1,1,13,1
24,3,4,0,2365,2,1,2,1,6,0
62,3,1,2,750,2,3,2,0,12,0
20,3,0,0,494,5,1,0,0,2,0
40,3,0,2,1675,3,4,1,0,12,0
15,3,4,2,559,1,2,0,0,16,0
83,3,1,0,3440,5,3,1,1,18,0
112,3,0,0,1187,2,2,2,1,0,0
50,3,0,0,3017,3,3,0,1,16,0
73,2,3,0,3246,4,3,2,1,17,1
39,3,0,2,4664,5,3,0,1,17,0
92,1,2,2,313,1,3,1,1,17,1
30,2,0,0,1145,5,1,1,0,2,0
68,1,1,1,1062,1,3,2,0,12,0
56,0,0,0,1830,5,2,0,1,17,0
73,0,0,1,2409,5,5,2,1,5,0
55,0,4,0,651,2,2,0,0,3,0
71,0,0,2,2226,2,2,1,1,18,0
12,3,1,2,878,2,3,0,1,1,0
96,0,1,2,763,3,3,2,0,6,1
57,3,4,2,2649,4,4,0,1,3,1
84,3,0,0,598,3,1,1,1,12,0
92,3,1,1,2039,2,3,1,0,11,0
60,2,1,2,1216,2,3,0,0,1,0
10,0,4,2,659,1,4,1,1,4,0
63,2,2,0,3457,3,2,2,0,7,0
113,2,0,1,328,1,5,1,1,8,1
11,2,0,0,1051,3,3,2,1,18,0
25,3,4,2,3788,5,2,1,1,2,0
51,2,0,0,1010,1,1,0,0,12,0
65,1,1,0,884,5,2,0,0,11,1
23,1,0,0,906,1,3,0,0,21,0
32,2,4,2,384,2,2,1,0,1,0
61,1,0,1,862,2,4,2,0,24,1
110,2,1,0,784,1,1,0,0,16,0
57,0,4,1,1777,2,4,2,0,15,1
36,2,1,2,3566,4,2,2,1,13,0
89,1,1,1,1632,2,3,2,0,21,1
75,2,1,0,3916,4,1,2,0,2,1
96,2,4,0,604,1,3,1,0,14,0
22,0,1,0,1390,3,2,1,1,10,0
10,0,0,2,581,3,4,1,0,13,0
42,1,2,0,1942,2,2,0,1,15,0
104,0,0,0,1963,2,3,0,0,6,0
34,2,0,0,1154,3,1,1,0,4,0
59,1,1,0,1094,1,2,2,0,20,1
57,2,0,1,846,1,3,1,0,15,1
62,3,3,0,2236,3,3,0,0,5,0
76,3,0,2,2685,4,4,2,1,0,0
25,2,0,0,325,4,3,2,1,14,0
93,2,1,1,2882,3,4,0,1,1,0
61,0,3,1,3393,3,5,2,1,1,0
60,3,2,0,3573,5,3,0,0,1,0
111,1,0,1,3461,5,5,2,1,21,1
50,0,4,2,499,3,3,1,0,9,0
97,2,2,1,1107,1,5,2,0,11,0
44,0,1,0,2116,5,3,1,1,1,0
31,1,0,0,353,1,2,2,0,10,0
22,3,4,0,2134,3,2,0,1,4,0
113,0,1,1,2160,2,4,0,1,12,0
113,1,3,2,3431,3,2,1,1,13,0
69,3,4,0,2111,3,1,0,1,14,0
97,0,4,2,663,1,2,2,0,10,0
120,3,0,0,4473,5,3,2,1,0,0
120,3,1,2,576,1,3,2,0,8,0
23,0,1,0,489,1,3,2,1,15,0
40,2,4,2,4715,5,2,2,0,13,0
113,1,0,2,4814,5,2,1,0,5,0
69,3,0,0,1169,2,1,1,0,14,0
69,2,0,0,979,4,1,0,0,0,0
80,3,0,1,1496,3,3,1,0,11,0
16,2,0,1,384,3,5,1,0,10,1
53,3,0,1,1013,2,4,2,1,8,0
63,1,2,2,2582,3,4,1,0,24,1
56,3,4,0,4413,4,2,2,1,8,0
90,1,1,1,320,2,3,2,0,20,0
46,3,1,2,2360,4,3,1,0,7,0
84,2,2,0,713,1,2,2,0,18,0
98,3,4,0,3491,5,1,2,0,10,0
69,0,3,0,3007,3,1,1,1,9,1
53,3,1,1,3795,5,4,0,0,6,1
10,3,0,1,3240,5,5,2,0,5,1
71,3,0,0,1019,4,1,2,0,5,1
43,1,2,1,914,2,3,2,1,18,1
71,3,0,0,4637,4,2,2,0,0,1
18,3,0,0,522,3,3,0,1,5,0
26,3,4,0,2916,4,3,1,0,16,1
77,1,0,0,2829,3,3,1,1,17,0
89,2,1,0,757,5,1,2,0,6,0
58,3,2,0,2360,3,2,0,1,6,0
106,2,1,0,2399,2,3,1,0,13,0
114,0,0,0,663,1,1,2,1,5,0
54,3,1,2,337,1,4,1,1,7,0
63,3,4,0,2098,3,2,2,1,4,0
97,3,1,0,552,3,3,1,0,1,0
99,3,0,2,3209,3,2,2,1,2,1
103,0,0,0,603,4,2,2,1,8,1
19,0,0,2,1092,3,2,1,1,2,0
82,1,0,2,5423,5,3,1,1,8,0
90,3,4,2,715,2,2,1,1,7,0
36,1,0,2,582,1,4,1,0,5,1
116,3,1,0,1167,1,2,2,0,2,0
21,2,1,0,2282,4,1,2,0,2,0
60,0,0,0,1690,3,3,1,1,2,0
86,3,0,0,2362,2,1,1,0,12,0
17,1,4,0,2219,2,1,0,1,6,0
120,1,0,0,5118,5,1,2,1,11,1
68,1,1,2,1321,5,2,0,1,8,0
50,3,0,2,1063,5,4,1,0,2,1
96,3,0,0,654,1,1,0,0,5,0
106,2,1,2,794,2,3,2,1,11,0
41,3,3,0,1118,1,3,2,1,6,0
72,1,4,0,5594,5,2,0,1,5,0
68,1,1,1,954,1,5,2,0,8,0
43,1,1,0,2722,4,1,1,0,7,0
77,0,0,2,978,1,2,1,1,14,0
33,3,3,0,730,1,3,2,1,18,0
67,3,1,2,1891,3,4,2,0,10,0
99,3,0,0,642,1,2,2,1,16,0
53,3,0,1,2029,2,5,0,0,12,0
71,3,1,0,1719,4,3,1,0,4,0
111,3,0,0,2853,3,3,0,1,11,0
110,0,0,2,307,1,2,1,0,4,0
31,0,1,0,904,1,3,1,1,5,0
67,0,4,2,539,2,2,0,1,13,0
57,0,0,0,969,1,1,1,0,13,0
113,2,0,2,1138,3,2,2,1,7,0
55,2,1,0,1399,3,1,2,0,11,0
91,3,1,2,3036,3,2,0,0,15,0
51,3,4,1,820,1,4,2,1,11,0
65,3,0,0,943,3,1,0,1,18,0
79,3,4,1,499,1,3,2,1,10,0
77,2,4,2,2007,2,2,2,0,10,0
12,3,0,2,737,5,3,2,0,10,0
85,1,4,1,1012,2,5,1,0,19,1
120,1,0,1,2970,3,5,1,0,7,1
104,3,1,1,3800,5,3,1,0,13,1
73,0,2,0,792,1,2,2,1,1,0
107,0,0,0,3022,4,2,0,0,10,0
58,0,0,2,425,3,4,0,1,2,0
13,2,4,0,1625,3,3,2,1,10,1
96,0,0,0,2355,2,1,0,1,7,0
89,3,4,0,4709,4,1,2,0,6,0
100,2,0,0,512,4,3,2,0,0,0
118,0,0,2,3151,3,2,0,0,16,0
70,1,2,1,998,2,4,0,1,8,0
110,2,1,2,1196,1,3,2,0,6,0
11,0,4,0,436,1,2,0,1,17,1
96,0,0,0,705,2,1,1,1,16,1
103,1,4,1,5515,5,4,2,1,10,1
63,0,0,1,2932,3,5,0,1,18,1
107,3,0,0,2763,5,3,1,1,15,0
58,0,1,1,323,1,5,1,1,9,1
120,3,1,2,1436,4,4,2,1,7,0
55,1,2,0,966,2,1,2,1,9,0
106,2,0,1,363,2,4,2,1,7,0
15,3,0,2,3171,5,3,1,1,17,0
24,3,2,0,1097,1,3,2,0,2,0
87,0,0,0,2671,4,1,2,1,0,0
53,0,0,1,1900,3,3,1,1,1,0
60,3,0,2,1964,2,2,0,1,18,0
21,1,2,1,1122,1,3,1,1,22,1
93,2,4,0,2946,3,3,2,1,7,0
23,0,0,2,2332,4,2,1,0,17,1
32,1,4,0,566,1,3,2,1,21,1
104,3,3,2,2766,3,2,1,1,12,0
56,2,4,0,880,4,1,0,1,13,0
70,1,0,0,496,1,1,0,1,20,0
100,3,1,0,1110,1,1,1,1,10,0
102,3,1,0,374,4,2,1,1,5,0
107,3,0,0,439,3,3,0,0,1,0
13,1,0,0,1970,2,1,1,1,22,1
64,3,4,0,2142,2,3,0,1,7,0
116,3,1,0,427,2,2,2,0,2,0
99,2,2,1,802,2,5,2,1,0,0
40,0,1,2,2874,3,3,2,1,6,0
51,3,1,2,1337,3,3,0,0,14,0
82,0,3,1,784,1,4,1,1,0,0
47,3,4,2,314,1,4,1,0,17,1
97,0,0,0,1045,1,1,2,0,6,0
116,3,0,2,695,5,3,1,1,12,0
10,3,0,0,2381,2,3,1,0,15,0
42,2,2,0,1754,4,2,1,1,4,0
92,2,4,0,3091,4,3,2,1,14,1
25,2,4,0,1113,3,2,2,1,7,0
90,3,1,0,5827,5,1,2,0,2,1
70,2,0,1,1121,2,3,2,1,18,0
119,1,1,2,372,1,4,2,0,18,1
51,0,0,0,4529,4,2,0,1,2,0
71,3,0,0,610,5,3,1,1,16,0
49,0,4,2,3121,3,4,1,0,18,0
34,3,0,2,3098,4,4,1,0,4,1
87,1,0,0,380,1,2,0,1,10,0
30,1,4,0,2442,3,1,2,0,15,0
33,3,3,0,2706,3,1,1,0,17,0
75,3,3,0,2383,3,1,2,1,12,0
39,2,0,0,4561,5,1,1,0,18,1
106,0,1,2,994,1,3,2,0,14,0
53,2,4,0,4351,4,2,2,0,12,1
33,1,2,1,3223,3,4,2,1,22,1
42,1,4,2,936,3,3,1,1,12,0
91,0,2,0,3432,4,1,2,0,16,0
63,1,0,0,430,3,1,1,0,7,0
44,2,0,1,5593,5,4,2,1,0,1
82,3,0,0,526,1,3,0,1,13,0
29,0,1,1,4042,4,5,1,0,13,1
116,3,0,2,4569,4,2,1,1,3,0
52,2,1,1,726,1,5,2,1,7,1
66,1,1,0,4716,4,3,2,0,24,1
58,1,2,0,1709,3,3,2,0,11,0
101,1,0,0,1419,2,1,2,0,15,0
111,2,1,1,1038,4,3,1,1,16,0
36,2,0,2,1064,2,2,1,0,3,0
69,2,1,2,1139,1,2,0,0,0,0
56,1,0,2,1182,1,3,2,1,15,0
69,0,4,0,494,1,3,0,0,3,0
36,3,0,0,1206,2,2,2,1,4,0
49,1,0,0,2124,2,3,2,1,18,0
44,3,0,0,330,3,2,0,1,0,0
17,0,0,1,4936,5,4,2,1,9,0
52,2,0,2,1532,5,3,2,1,17,0
33,3,1,0,2385,3,3,0,1,8,0
34,0,0,1,2651,4,5,2,0,18,1
49,2,1,0,1021,2,1,1,1,10,0
58,2,0,0,1974,4,1,2,0,3,0
49,3,0,0,2302,4,2,0,0,14,0
39,3,0,0,484,1,2,1,1,0,0
35,1,3,1,2044,3,3,2,1,16,0
87,2,4,0,2819,4,2,1,1,17,0
28,3,3,0,4607,4,1,0,0,1,0
120,1,4,1,1957,2,3,2,0,13,0
82,3,1,0,987,4,1,2,0,1,1
82,3,4,0,807,1,3,1,1,16,0
106,0,0,2,625,5,2,2,0,13,0
59,1,0,1,3444,4,5,2,1,5,0
98,2,3,2,2751,5,4,1,0,14,0
118,2,4,0,1660,2,3,2,0,10,0
107,3,1,0,470,2,3,1,0,11,1
49,1,2,1,1075,4,5,1,0,13,1
72,0,0,2,1647,2,2,1,1,12,0
82,2,1,0,3790,4,3,0,1,15,1
109,2,0,1,1864,5,4,0,1,10,0
84,0,2,1,742,5,3,2,0,2,0
20,0,1,2,5648,5,4,0,1,1,1
83,3,0,2,1971,2,4,0,1,16,1
67,3,2,1,355,5,3,1,0,10,1
43,0,0,2,485,1,4,0,1,5,1
67,1,0,2,1784,5,2,2,1,5,0
88,0,2,2,1146,1,2,2,1,7,0
62,3,2,2,451,1,3,1,0,4,1
73,2,0,0,1350,3,2,0,1,12,1
27,1,1,2,802,1,2,0,1,18,0
34,0,3,1,1336,2,4,1,1,3,1
19,2,1,1,2734,4,4,0,0,8,1
74,1,1,0,3006,3,2,2,1,22,1
39,1,4,0,1006,1,1,2,0,5,0
32,3,0,2,624,2,3,2,1,11,1
57,2,4,0,4231,4,1,2,1,11,0
99,1,3,2,3187,5,2,0,1,24,0
21,3,1,0,1215,3,2,2,1,3,0
57,1,1,1,4762,5,5,2,0,12,1
84,2,1,0,4373,5,3,1,0,0,0
36,2,0,1,3868,5,4,0,0,14,0
58,2,1,0,3972,5,2,1,0,5,0
113,0,4,0,3337,4,3,2,1,16,0
106,3,4,0,3538,4,3,1,0,9,0
62,2,0,0,4362,5,1,1,0,13,0
19,3,0,0,479,1,1,1,1,17,0
102,1,0,0,623,3,2,2,1,6,0
29,1,0,0,1904,5,1,1,1,17,0
49,3,2,1,1067,5,4,0,1,4,0
97,1,4,1,2375,3,5,2,1,15,1
40,3,2,2,912,2,4,2,0,14,0
71,3,1,0,4744,5,3,0,0,14,0
50,3,1,1,2206,2,3,1,0,13,1
75,0,4,1,2642,3,5,2,0,7,1
97,3,4,2,1075,2,2,0,1,2,0
57,2,3,0,3919,5,2,2,0,16,1
44,3,2,1,2649,5,5,2,0,2,0
99,0,0,2,1899,3,2,0,1,2,0
25,3,4,1,1249,4,4,0,0,5,0
117,2,3,2,4371,4,4,1,0,8,0
87,0,1,0,3442,5,1,2,0,4,0
38,3,0,0,780,2,3,0,1,13,1
