time_spent_sec,page_stage,device_type,delivery_zone,cart_value,cart_items_count,delivery_eta_days,coupon_status,is_returning_user,idle_seconds,abandoned
10,product,macbook,tier2,893,1,2,applied,0,7,0
91,product,android,metro,910,3,3,applied,1,5,0
26,product,iphone,metro,530,1,3,none,1,6,0
54,checkout,macbook,metro,3036,3,3,none,1,14,0
93,product,macbook,tier2,851,2,4,available,0,2,0
120,cart,windows,metro,5665,5,2,applied,0,0,0
96,product,macbook,tier2,3558,4,2,applied,0,4,0
87,product,iphone,metro,1334,3,2,available,1,6,0
116,cart,iphone,remote,357,1,3,available,0,15,1
34,cart,windows,metro,635,2,1,none,0,17,0
98,checkout,android,metro,327,2,1,applied,0,15,0
22,checkout,iphone,tier2,757,3,2,none,1,11,0
85,cart,windows,remote,2512,3,4,applied,1,11,0
25,product,iphone,tier2,666,1,4,available,0,16,0
29,home,windows,metro,2087,2,2,available,0,0,1
53,product,windows,remote,1160,1,4,applied,0,12,1
27,product,android,metro,4088,4,1,available,0,3,0
97,product,windows,tier2,572,1,4,none,1,12,1
79,cart,android,metro,3347,3,3,available,0,13,0
18,product,windows,remote,1258,2,4,none,1,18,1
83,cart,android,remote,2981,5,5,none,0,17,1
65,home,windows,remote,1798,2,3,available,0,2,1
72,home,iphone,remote,3322,4,5,none,1,13,1
103,cart,iphone,metro,369,1,2,none,0,11,0
34,cart,macbook,metro,5838,5,1,none,0,6,0
21,product,android,metro,922,1,1,applied,1,1,1
77,cart,macbook,tier2,4183,5,2,none,0,9,0
107,product,windows,metro,1152,4,2,none,0,17,0
102,product,macbook,remote,2457,4,5,available,0,2,0
37,cart,windows,remote,2887,4,3,none,0,11,0
118,product,iphone,metro,546,2,1,none,1,6,0
89,home,iphone,metro,735,4,2,applied,1,8,1
119,home,android,metro,1134,1,2,none,0,4,0
55,product,iphone,remote,1853,5,5,none,1,2,0
92,home,android,metro,445,5,3,none,0,17,0
95,checkout,android,metro,1013,2,3,none,0,23,1
94,cart,windows,metro,532,2,2,none,1,3,0
78,home,android,metro,475,1,2,applied,0,0,0
115,checkout,iphone,tier2,1954,5,4,none,0,18,0
23,cart,android,metro,463,2,3,applied,1,8,1
21,product,android,metro,495,1,2,applied,1,7,0
36,home,windows,tier2,1174,2,4,none,0,13,1
76,cart,iphone,remote,1051,1,4,applied,0,6,0
99,product,android,metro,2649,3,2,none,1,7,0
107,product,windows,remote,1388,4,3,none,1,9,0
119,home,iphone,metro,2778,4,1,applied,1,2,0
45,product,iphone,metro,474,1,2,applied,0,10,0
79,checkout,windows,tier2,951,2,2,available,1,10,0
41,product,macbook,metro,592,2,3,none,1,5,0
34,checkout,android,metro,3400,5,1,none,1,11,1
112,checkout,android,tier2,583,1,3,available,1,22,1
115,product,iphone,tier2,2261,4,2,available,0,1,1
81,checkout,iphone,tier2,3372,4,3,available,1,13,1
24,product,windows,metro,2365,2,1,none,1,6,0
62,product,iphone,tier2,750,2,3,none,0,12,0
20,product,android,metro,494,5,1,applied,0,2,0
40,product,android,tier2,1675,3,4,available,0,12,0
15,product,windows,tier2,559,1,2,applied,0,16,0
83,product,iphone,metro,3440,5,3,available,1,18,0
112,product,android,metro,1187,2,2,none,1,0,0
50,product,android,metro,3017,3,3,applied,1,16,0
73,home,tablet,metro,3246,4,3,none,1,17,1
39,product,android,tier2,4664,5,3,applied,1,17,0
92,checkout,macbook,tier2,313,1,3,available,1,17,1
30,home,android,metro,1145,5,1,available,0,2,0
68,checkout,iphone,remote,1062,1,3,none,0,12,0
56,cart,android,metro,1830,5,2,applied,1,17,0
73,cart,android,remote,2409,5,5,none,1,5,0
55,cart,windows,metro,651,2,2,applied,0,3,0
71,cart,android,tier2,2226,2,2,available,1,18,0
12,product,iphone,tier2,878,2,3,applied,1,1,0
96,cart,iphone,tier2,763,3,3,none,0,6,1
57,product,windows,tier2,2649,4,4,applied,1,3,1
84,product,android,metro,598,3,1,available,1,12,0
92,product,iphone,remote,2039,2,3,available,0,11,0
60,home,iphone,tier2,1216,2,3,applied,0,1,0
10,cart,windows,tier2,659,1,4,available,1,4,0
63,home,macbook,metro,3457,3,2,none,0,7,0
113,home,android,remote,328,1,5,available,1,8,1
11,home,android,metro,1051,3,3,none,1,18,0
25,product,windows,tier2,3788,5,2,available,1,2,0
51,home,android,metro,1010,1,1,applied,0,12,0
65,checkout,iphone,metro,884,5,2,applied,0,11,1
23,checkout,android,metro,906,1,3,applied,0,21,0
32,home,windows,tier2,384,2,2,available,0,1,0
61,checkout,android,remote,862,2,4,none,0,24,1
110,home,iphone,metro,784,1,1,applied,0,16,0
57,cart,windows,remote,1777,2,4,none,0,15,1
36,home,iphone,tier2,3566,4,2,none,1,13,0
89,checkout,iphone,remote,1632,2,3,none,0,21,1
75,home,iphone,metro,3916,4,1,none,0,2,1
96,home,windows,metro,604,1,3,available,0,14,0
22,cart,iphone,metro,1390,3,2,available,1,10,0
10,cart,android,tier2,581,3,4,available,0,13,0
42,checkout,macbook,metro,1942,2,2,applied,1,15,0
104,cart,android,metro,1963,2,3,applied,0,6,0
34,home,android,metro,1154,3,1,available,0,4,0
59,checkout,iphone,metro,1094,1,2,none,0,20,1
57,home,android,remote,846,1,3,available,0,15,1
62,product,tablet,metro,2236,3,3,applied,0,5,0
76,product,android,tier2,2685,4,4,none,1,0,0
25,home,android,metro,325,4,3,none,1,14,0
93,home,iphone,remote,2882,3,4,applied,1,1,0
61,cart,tablet,remote,3393,3,5,none,1,1,0
60,product,macbook,metro,3573,5,3,applied,0,1,0
111,checkout,android,remote,3461,5,5,none,1,21,1
50,cart,windows,tier2,499,3,3,available,0,9,0
97,home,macbook,remote,1107,1,5,none,0,11,0
44,cart,iphone,metro,2116,5,3,available,1,1,0
31,checkout,android,metro,353,1,2,none,0,10,0
22,product,windows,metro,2134,3,2,applied,1,4,0
113,cart,iphone,remote,2160,2,4,applied,1,12,0
113,checkout,tablet,tier2,3431,3,2,available,1,13,0
69,product,windows,metro,2111,3,1,applied,1,14,0
97,cart,windows,tier2,663,1,2,none,0,10,0
120,product,android,metro,4473,5,3,none,1,0,0
120,product,iphone,tier2,576,1,3,none,0,8,0
23,cart,iphone,metro,489,1,3,none,1,15,0
40,home,windows,tier2,4715,5,2,none,0,13,0
113,checkout,android,tier2,4814,5,2,available,0,5,0
69,product,android,metro,1169,2,1,available,0,14,0
69,home,android,metro,979,4,1,applied,0,0,0
80,product,android,remote,1496,3,3,available,0,11,0
16,home,android,remote,384,3,5,available,0,10,1
53,product,android,remote,1013,2,4,none,1,8,0
63,checkout,macbook,tier2,2582,3,4,available,0,24,1
56,product,windows,metro,4413,4,2,none,1,8,0
90,checkout,iphone,remote,320,2,3,none,0,20,0
46,product,iphone,tier2,2360,4,3,available,0,7,0
84,home,macbook,metro,713,1,2,none,0,18,0
98,product,windows,metro,3491,5,1,none,0,10,0
69,cart,tablet,metro,3007,3,1,available,1,9,1
53,product,iphone,remote,3795,5,4,applied,0,6,1
10,product,android,remote,3240,5,5,none,0,5,1
71,product,android,metro,1019,4,1,none,0,5,1
43,checkout,macbook,remote,914,2,3,none,1,18,1
71,product,android,metro,4637,4,2,none,0,0,1
18,product,android,metro,522,3,3,applied,1,5,0
26,product,windows,metro,2916,4,3,available,0,16,1
77,checkout,android,metro,2829,3,3,available,1,17,0
89,home,iphone,metro,757,5,1,none,0,6,0
58,product,macbook,metro,2360,3,2,applied,1,6,0
106,home,iphone,metro,2399,2,3,available,0,13,0
114,cart,android,metro,663,1,1,none,1,5,0
54,product,iphone,tier2,337,1,4,available,1,7,0
63,product,windows,metro,2098,3,2,none,1,4,0
97,product,iphone,metro,552,3,3,available,0,1,0
99,product,android,tier2,3209,3,2,none,1,2,1
103,cart,android,metro,603,4,2,none,1,8,1
19,cart,android,tier2,1092,3,2,available,1,2,0
82,checkout,android,tier2,5423,5,3,available,1,8,0
90,product,windows,tier2,715,2,2,available,1,7,0
36,checkout,android,tier2,582,1,4,available,0,5,1
116,product,iphone,metro,1167,1,2,none,0,2,0
21,home,iphone,metro,2282,4,1,none,0,2,0
60,cart,android,metro,1690,3,3,available,1,2,0
86,product,android,metro,2362,2,1,available,0,12,0
17,checkout,windows,metro,2219,2,1,applied,1,6,0
120,checkout,android,metro,5118,5,1,none,1,11,1
68,checkout,iphone,tier2,1321,5,2,applied,1,8,0
50,product,android,tier2,1063,5,4,available,0,2,1
96,product,android,metro,654,1,1,applied,0,5,0
106,home,iphone,tier2,794,2,3,none,1,11,0
41,product,tablet,metro,1118,1,3,none,1,6,0
72,checkout,windows,metro,5594,5,2,applied,1,5,0
68,checkout,iphone,remote,954,1,5,none,0,8,0
43,checkout,iphone,metro,2722,4,1,available,0,7,0
77,cart,android,tier2,978,1,2,available,1,14,0
33,product,tablet,metro,730,1,3,none,1,18,0
67,product,iphone,tier2,1891,3,4,none,0,10,0
99,product,android,metro,642,1,2,none,1,16,0
53,product,android,remote,2029,2,5,applied,0,12,0
71,product,iphone,metro,1719,4,3,available,0,4,0
111,product,android,metro,2853,3,3,applied,1,11,0
110,cart,android,tier2,307,1,2,available,0,4,0
31,cart,iphone,metro,904,1,3,available,1,5,0
67,cart,windows,tier2,539,2,2,applied,1,13,0
57,cart,android,metro,969,1,1,available,0,13,0
113,home,android,tier2,1138,3,2,none,1,7,0
55,home,iphone,metro,1399,3,1,none,0,11,0
91,product,iphone,tier2,3036,3,2,applied,0,15,0
51,product,windows,remote,820,1,4,none,1,11,0
65,product,android,metro,943,3,1,applied,1,18,0
79,product,windows,remote,499,1,3,none,1,10,0
77,home,windows,tier2,2007,2,2,none,0,10,0
12,product,android,tier2,737,5,3,none,0,10,0
85,checkout,windows,remote,1012,2,5,available,0,19,1
120,checkout,android,remote,2970,3,5,available,0,7,1
104,product,iphone,remote,3800,5,3,available,0,13,1
73,cart,macbook,metro,792,1,2,none,1,1,0
107,cart,android,metro,3022,4,2,applied,0,10,0
58,cart,android,tier2,425,3,4,applied,1,2,0
13,home,windows,metro,1625,3,3,none,1,10,1
96,cart,android,metro,2355,2,1,applied,1,7,0
89,product,windows,metro,4709,4,1,none,0,6,0
100,home,android,metro,512,4,3,none,0,0,0
118,cart,android,tier2,3151,3,2,applied,0,16,0
70,checkout,macbook,remote,998,2,4,applied,1,8,0
110,home,iphone,tier2,1196,1,3,none,0,6,0
11,cart,windows,metro,436,1,2,applied,1,17,1
96,cart,android,metro,705,2,1,available,1,16,1
103,checkout,windows,remote,5515,5,4,none,1,10,1
63,cart,android,remote,2932,3,5,applied,1,18,1
107,product,android,metro,2763,5,3,available,1,15,0
58,cart,iphone,remote,323,1,5,available,1,9,1
120,product,iphone,tier2,1436,4,4,none,1,7,0
55,checkout,macbook,metro,966,2,1,none,1,9,0
106,home,android,remote,363,2,4,none,1,7,0
15,product,android,tier2,3171,5,3,available,1,17,0
24,product,macbook,metro,1097,1,3,none,0,2,0
87,cart,android,metro,2671,4,1,none,1,0,0
53,cart,android,remote,1900,3,3,available,1,1,0
60,product,android,tier2,1964,2,2,applied,1,18,0
21,checkout,macbook,remote,1122,1,3,available,1,22,1
93,home,windows,metro,2946,3,3,none,1,7,0
23,cart,android,tier2,2332,4,2,available,0,17,1
32,checkout,windows,metro,566,1,3,none,1,21,1
104,product,tablet,tier2,2766,3,2,available,1,12,0
56,home,windows,metro,880,4,1,applied,1,13,0
70,checkout,android,metro,496,1,1,applied,1,20,0
100,product,iphone,metro,1110,1,1,available,1,10,0
102,product,iphone,metro,374,4,2,available,1,5,0
107,product,android,metro,439,3,3,applied,0,1,0
13,checkout,android,metro,1970,2,1,available,1,22,1
64,product,windows,metro,2142,2,3,applied,1,7,0
116,product,iphone,metro,427,2,2,none,0,2,0
99,home,macbook,remote,802,2,5,none,1,0,0
40,cart,iphone,tier2,2874,3,3,none,1,6,0
51,product,iphone,tier2,1337,3,3,applied,0,14,0
82,cart,tablet,remote,784,1,4,available,1,0,0
47,product,windows,tier2,314,1,4,available,0,17,1
97,cart,android,metro,1045,1,1,none,0,6,0
116,product,android,tier2,695,5,3,available,1,12,0
10,product,android,metro,2381,2,3,available,0,15,0
42,home,macbook,metro,1754,4,2,available,1,4,0
92,home,windows,metro,3091,4,3,none,1,14,1
25,home,windows,metro,1113,3,2,none,1,7,0
90,product,iphone,metro,5827,5,1,none,0,2,1
70,home,android,remote,1121,2,3,none,1,18,0
119,checkout,iphone,tier2,372,1,4,none,0,18,1
51,cart,android,metro,4529,4,2,applied,1,2,0
71,product,android,metro,610,5,3,available,1,16,0
49,cart,windows,tier2,3121,3,4,available,0,18,0
34,product,android,tier2,3098,4,4,available,0,4,1
87,checkout,android,metro,380,1,2,applied,1,10,0
30,checkout,windows,metro,2442,3,1,none,0,15,0
33,product,tablet,metro,2706,3,1,available,0,17,0
75,product,tablet,metro,2383,3,1,none,1,12,0
39,home,android,metro,4561,5,1,available,0,18,1
106,cart,iphone,tier2,994,1,3,none,0,14,0
53,home,windows,metro,4351,4,2,none,0,12,1
33,checkout,macbook,remote,3223,3,4,none,1,22,1
42,checkout,windows,tier2,936,3,3,available,1,12,0
91,cart,macbook,metro,3432,4,1,none,0,16,0
63,checkout,android,metro,430,3,1,available,0,7,0
44,home,android,remote,5593,5,4,none,1,0,1
82,product,android,metro,526,1,3,applied,1,13,0
29,cart,iphone,remote,4042,4,5,available,0,13,1
116,product,android,tier2,4569,4,2,available,1,3,0
52,home,iphone,remote,726,1,5,none,1,7,1
66,checkout,iphone,metro,4716,4,3,none,0,24,1
58,checkout,macbook,metro,1709,3,3,none,0,11,0
101,checkout,android,metro,1419,2,1,none,0,15,0
111,home,iphone,remote,1038,4,3,available,1,16,0
36,home,android,tier2,1064,2,2,available,0,3,0
69,home,iphone,tier2,1139,1,2,applied,0,0,0
56,checkout,android,tier2,1182,1,3,none,1,15,0
69,cart,windows,metro,494,1,3,applied,0,3,0
36,product,android,metro,1206,2,2,none,1,4,0
49,checkout,android,metro,2124,2,3,none,1,18,0
44,product,android,metro,330,3,2,applied,1,0,0
17,cart,android,remote,4936,5,4,none,1,9,0
52,home,android,tier2,1532,5,3,none,1,17,0
33,product,iphone,metro,2385,3,3,applied,1,8,0
34,cart,android,remote,2651,4,5,none,0,18,1
49,home,iphone,metro,1021,2,1,available,1,10,0
58,home,android,metro,1974,4,1,none,0,3,0
49,product,android,metro,2302,4,2,applied,0,14,0
39,product,android,metro,484,1,2,available,1,0,0
35,checkout,tablet,remote,2044,3,3,none,1,16,0
87,home,windows,metro,2819,4,2,available,1,17,0
28,product,tablet,metro,4607,4,1,applied,0,1,0
120,checkout,windows,remote,1957,2,3,none,0,13,0
82,product,iphone,metro,987,4,1,none,0,1,1
82,product,windows,metro,807,1,3,available,1,16,0
106,cart,android,tier2,625,5,2,none,0,13,0
59,checkout,android,remote,3444,4,5,none,1,5,0
98,home,tablet,tier2,2751,5,4,available,0,14,0
118,home,windows,metro,1660,2,3,none,0,10,0
107,product,iphone,metro,470,2,3,available,0,11,1
49,checkout,macbook,remote,1075,4,5,available,0,13,1
72,cart,android,tier2,1647,2,2,available,1,12,0
82,home,iphone,metro,3790,4,3,applied,1,15,1
109,home,android,remote,1864,5,4,applied,1,10,0
84,cart,macbook,remote,742,5,3,none,0,2,0
20,cart,iphone,tier2,5648,5,4,applied,1,1,1
83,product,android,tier2,1971,2,4,applied,1,16,1
67,product,macbook,remote,355,5,3,available,0,10,1
43,cart,android,tier2,485,1,4,applied,1,5,1
67,checkout,android,tier2,1784,5,2,none,1,5,0
88,cart,macbook,tier2,1146,1,2,none,1,7,0
62,product,macbook,tier2,451,1,3,available,0,4,1
73,home,android,metro,1350,3,2,applied,1,12,1
27,checkout,iphone,tier2,802,1,2,applied,1,18,0
34,cart,tablet,remote,1336,2,4,available,1,3,1
19,home,iphone,remote,2734,4,4,applied,0,8,1
74,checkout,iphone,metro,3006,3,2,none,1,22,1
39,checkout,windows,metro,1006,1,1,none,0,5,0
32,product,android,tier2,624,2,3,none,1,11,1
57,home,windows,metro,4231,4,1,none,1,11,0
99,checkout,tablet,tier2,3187,5,2,applied,1,24,0
21,product,iphone,metro,1215,3,2,none,1,3,0
57,checkout,iphone,remote,4762,5,5,none,0,12,1
84,home,iphone,metro,4373,5,3,available,0,0,0
36,home,android,remote,3868,5,4,applied,0,14,0
58,home,iphone,metro,3972,5,2,available,0,5,0
113,cart,windows,metro,3337,4,3,none,1,16,0
106,product,windows,metro,3538,4,3,available,0,9,0
62,home,android,metro,4362,5,1,available,0,13,0
19,product,android,metro,479,1,1,available,1,17,0
102,checkout,android,metro,623,3,2,none,1,6,0
29,checkout,android,metro,1904,5,1,available,1,17,0
49,product,macbook,remote,1067,5,4,applied,1,4,0
97,checkout,windows,remote,2375,3,5,none,1,15,1
40,product,macbook,tier2,912,2,4,none,0,14,0
71,product,iphone,metro,4744,5,3,applied,0,14,0
50,product,iphone,remote,2206,2,3,available,0,13,1
75,cart,windows,remote,2642,3,5,none,0,7,1
97,product,windows,tier2,1075,2,2,applied,1,2,0
57,home,tablet,metro,3919,5,2,none,0,16,1
44,product,macbook,remote,2649,5,5,none,0,2,0
99,cart,android,tier2,1899,3,2,applied,1,2,0
25,product,windows,remote,1249,4,4,applied,0,5,0
117,home,tablet,tier2,4371,4,4,available,0,8,0
87,cart,iphone,metro,3442,5,1,none,0,4,0
38,product,android,metro,780,2,3,applied,1,13,1
71,product,android,remote,2628,4,4,none,1,16,1
80,product,android,remote,1297,4,4,none,0,2,1
120,cart,tablet,metro,5563,5,1,none,0,5,0
103,product,android,metro,1148,1,1,applied,0,1,0
104,product,iphone,metro,3340,5,1,none,0,12,1
33,home,android,tier2,886,2,2,none,1,14,0
61,checkout,iphone,metro,4978,5,3,available,1,13,1
82,checkout,android,metro,735,1,1,none,1,11,0
117,cart,android,metro,1163,2,3,none,0,12,0
27,product,windows,metro,1280,4,2,applied,0,0,0
29,cart,iphone,tier2,2304,3,4,none,1,1,0
44,home,android,tier2,1092,2,3,none,0,3,0
55,product,android,metro,3187,5,1,none,1,4,1
50,cart,macbook,tier2,4605,5,3,none,1,4,0
73,product,android,tier2,812,1,3,none,1,2,0
59,product,android,metro,706,1,1,applied,1,11,0
63,home,android,metro,427,3,1,none,1,12,0
72,cart,iphone,remote,2085,5,4,available,0,15,1
30,home,android,metro,1310,3,2,available,0,13,0
32,checkout,iphone,remote,1075,4,3,none,0,16,1
59,checkout,android,metro,4261,5,3,applied,0,22,0
70,home,windows,tier2,1600,2,4,none,0,13,1
108,cart,android,metro,738,4,2,none,1,10,0
41,cart,iphone,metro,4732,5,2,none,0,10,1
48,checkout,android,metro,2978,3,1,applied,0,25,0
60,cart,windows,metro,946,1,3,applied,1,9,0
111,product,iphone,remote,3117,3,4,available,0,0,1
37,product,android,metro,4548,4,3,none,0,7,1
104,checkout,windows,remote,3290,4,3,available,1,18,0
77,cart,android,tier2,2141,2,2,available,1,7,0
49,cart,android,metro,5445,5,2,none,1,17,1
73,checkout,windows,metro,1167,1,1,none,1,21,0
93,cart,iphone,tier2,2657,5,3,none,1,7,1
15,product,iphone,metro,804,1,1,available,0,8,0
112,product,iphone,tier2,4936,5,4,none,1,16,1
107,product,windows,metro,629,1,3,none,0,12,0
77,cart,android,metro,1164,5,2,none,0,15,1
88,checkout,windows,metro,354,5,1,available,1,10,0
82,cart,android,metro,1642,2,3,available,0,7,0
48,product,windows,metro,4202,4,3,none,0,14,0
44,product,android,tier2,2368,2,3,applied,0,17,0
20,cart,iphone,metro,3091,3,3,none,1,8,0
16,product,android,tier2,1961,3,3,none,0,8,0
96,home,iphone,metro,775,3,2,none,1,17,0
18,checkout,android,metro,995,1,3,none,1,17,1
12,product,android,metro,5059,5,1,none,0,11,1
44,product,iphone,metro,2102,3,2,none,0,17,0
104,product,windows,remote,1877,2,3,none,1,1,1
44,home,iphone,tier2,560,2,2,none,1,9,0
118,home,windows,remote,2077,2,4,available,1,5,0
63,cart,android,metro,506,1,3,applied,0,2,0
77,product,iphone,metro,2720,4,2,none,0,6,1
87,home,iphone,metro,1063,2,2,available,0,5,0
28,cart,iphone,tier2,744,1,2,available,1,13,0
89,checkout,windows,metro,404,2,3,available,0,21,0
117,home,android,remote,1504,4,4,none,0,8,1
52,cart,android,remote,2365,5,3,none,0,12,0
54,cart,android,remote,430,1,4,none,1,14,0
67,checkout,windows,tier2,2190,2,2,applied,1,14,0
50,product,android,tier2,2547,3,4,applied,1,14,1
46,home,android,metro,591,1,2,available,1,7,0
32,product,windows,metro,3284,3,3,available,1,13,0
44,cart,tablet,tier2,545,2,4,applied,0,14,0
38,home,android,remote,2871,5,5,available,0,2,1
118,checkout,iphone,metro,383,3,3,available,1,20,1
28,product,iphone,metro,3997,5,1,applied,0,10,0
78,cart,windows,remote,3880,4,3,available,0,5,0
19,cart,iphone,tier2,1626,3,4,none,0,12,0
31,checkout,tablet,metro,3965,4,3,available,0,7,0
44,home,windows,tier2,2063,2,3,applied,0,18,1
104,cart,iphone,metro,5186,5,2,available,0,8,0
56,product,android,remote,2073,5,3,none,0,7,0
102,checkout,android,remote,2066,3,3,none,1,14,0
33,checkout,android,metro,444,2,2,applied,0,8,0
14,checkout,windows,metro,3856,4,3,available,1,21,1
52,home,android,metro,829,3,2,none,0,9,0
32,home,windows,remote,2784,5,3,applied,1,17,0
50,home,windows,remote,4321,4,5,applied,1,9,0
68,home,windows,metro,1655,5,1,none,1,18,0
66,home,iphone,metro,1447,4,3,available,1,9,0
23,checkout,android,metro,3310,3,3,none,0,9,0
111,cart,android,metro,2622,4,1,none,1,8,0
98,checkout,iphone,metro,757,2,1,none,0,5,0
97,home,windows,remote,785,1,3,none,0,8,1
52,home,android,metro,1723,5,2,applied,0,16,1
102,home,iphone,metro,320,2,3,available,1,1,0
76,checkout,macbook,tier2,615,3,4,applied,1,15,1
54,product,android,tier2,5121,5,4,none,0,18,1
47,cart,windows,tier2,800,1,2,available,1,16,0
112,home,android,tier2,1060,1,4,none,0,10,1
89,cart,windows,metro,1735,2,2,applied,1,4,0
97,product,android,remote,1215,5,3,available,0,17,0
76,checkout,android,metro,1141,4,2,applied,1,21,1
75,home,android,remote,2858,3,4,available,1,0,0
10,home,iphone,metro,1078,1,2,applied,0,5,0
67,checkout,android,tier2,468,1,3,none,0,18,0
106,home,iphone,metro,4301,4,2,available,1,14,1
106,cart,windows,tier2,963,3,4,none,1,4,1
18,checkout,iphone,metro,2530,5,3,none,0,19,1
103,product,android,metro,622,1,2,none,0,12,0
